,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed,Sunrise,Sunset
278,hambantota,40,LK,1581917283,74,86.0,6.12,81.12,19.46,1581900698,1581943668
279,caruray,20,PH,1581917283,49,93.2,10.31,119.01,16.11,1581891828,1581934353
280,sabha,0,LY,1581917283,77,47.57,27.04,14.43,9.84,1581917877,1581958500
281,krasnovka,0,RU,1581917283,87,26.87,48.82,40.09,6.53,1581913548,1581950512
282,ranong,20,TH,1581917283,52,93.2,9.97,98.63,6.93,1581896700,1581939263
283,bethlehem,98,BR,1581917284,94,75.2,-1.46,-48.5,3.36,1581931412,1581975170
284,dudinka,75,RU,1581917284,85,10.4,69.41,86.18,22.37,1581907147,1581934792
285,berezovyy,0,RU,1581917284,65,19.33,51.67,135.7,2.68,1581890986,1581927183
286,kuznechnoye,100,RU,1581917284,89,42.01,61.12,29.87,16.78,1581917965,1581951001
287,woodward,1,US,1581917284,93,44.6,36.43,-99.39,9.17,1581859496,1581898719
288,kalmunai,78,LK,1581917284,73,79.68,7.42,81.82,13.58,1581900599,1581943432
289,camocim,100,BR,1581917285,98,73.87,-2.9,-40.84,3.29,1581929499,1581973407
290,yar-sale,98,RU,1581917285,96,3.85,66.83,70.83,11.61,1581909767,1581939538
291,sao paulo de olivenca,69,BR,1581917285,96,74.05,-3.38,-68.87,1.39,1581936201,1581980158
292,ovre ardal,90,NO,1581917285,95,32.0,61.32,7.8,29.97,1581923296,1581956263
293,basco,78,PH,1581917285,81,69.44,20.45,121.97,30.51,1581891680,1581933080
294,pacific grove,90,US,1581917187,87,54.0,36.62,-121.92,15.95,1581864914,1581904115
295,nome,90,US,1581917286,78,12.2,64.5,-165.41,11.41,1581879386,1581910518
